Incident Date,Incident ID,Incident Category
2018/12/15,2,Prostitution
2018/12/12,11,Motor Vehicle Theft
2018/12/27,2,Other
2018/12/23,9,Motor Vehicle Theft
2018/12/10,2,Case Closure
2018/12/08,1,Civil Sidewalks
2018/12/14,13,Robbery
2018/12/15,16,Lost Property
2018/12/06,6,Traffic Violation Arrest
2018/12/02,6,Forgery And Counterfeiting
2018/12/03,20,Non-Criminal
2018/12/29,3,Missing Person
2018/12/24,13,Lost Property
2018/12/25,7,Lost Property
2018/12/07,26,Malicious Mischief
2018/12/05,3,Weapons Offense
2018/12/10,16,Warrant
2018/12/27,5,Other Offenses
2018/12/07,20,Assault
2018/12/11,10,Recovered Vehicle
2018/12/15,2,Miscellaneous Investigation
2018/12/03,35,Other Miscellaneous
2018/12/30,1,Vehicle Impounded
2018/12/18,1,Other
2018/12/25,2,Miscellaneous Investigation
2018/12/13,1,Civil Sidewalks
2018/12/29,1,Drug Violation
2018/12/18,4,Other Offenses
2018/12/01,4,Disorderly Conduct
2018/12/09,1,Sex Offense
2018/12/10,3,Stolen Property
2018/12/28,11,Recovered Vehicle
2018/12/05,1,Vehicle Misplaced
2018/12/06,13,Warrant
2018/12/07,30,Non-Criminal
2018/12/08,1,Vehicle Misplaced
2018/12/11,4,Sex Offense
2018/12/19,2,Suspicious
2018/12/19,1,Weapons Offense
2018/12/03,24,Malicious Mischief
2018/12/06,1,Case Closure
2018/12/20,2,Prostitution
2018/12/10,9,Traffic Violation Arrest
2018/12/22,8,Robbery
2018/12/12,7,Disorderly Conduct
2018/12/23,6,Disorderly Conduct
2018/12/09,6,Recovered Vehicle
2018/12/20,17,Lost Property
2018/12/07,41,Other Miscellaneous
2018/12/08,1,Weapons Offense
2018/12/26,4,Other
2018/12/03,16,Assault
2018/12/01,14,Motor Vehicle Theft
2018/12/19,1,Vehicle Misplaced
2018/12/20,4,Miscellaneous Investigation
2018/12/26,2,Other Offenses
2018/12/02,10,Missing Person
2018/12/06,1,Family Offense
2018/12/17,1,Suspicious
2018/12/23,9,Fraud
2018/12/24,8,Robbery
2018/12/25,8,Robbery
2018/12/03,6,Forgery And Counterfeiting
2018/12/02,20,Non-Criminal
2018/12/04,1,Case Closure
2018/12/12,12,Fraud
2018/12/29,31,Assault
2018/12/27,141,Larceny Theft
2018/12/14,17,Lost Property
2018/12/04,9,Warrant
2018/12/15,11,Robbery
2018/12/19,1,Vehicle Impounded
2018/12/01,5,Drug Offense
2018/12/02,37,Other Miscellaneous
2018/12/16,3,Traffic Violation Arrest
2018/12/28,2,Traffic Collision
2018/12/29,35,Malicious Mischief
2018/12/21,7,Recovered Vehicle
2018/12/18,132,Larceny Theft
2018/12/26,1,Weapons Carrying Etc
2018/12/04,3,Stolen Property
2018/12/03,1,Vandalism
2018/12/07,15,Missing Person
2018/12/14,3,Miscellaneous Investigation
2018/12/26,3,Suspicious Occ
2018/12/23,10,Drug Offense
2018/12/22,17,Lost Property
2018/12/09,1,Traffic Collision
2018/12/20,18,Robbery
2018/12/15,1,Rape
2018/12/29,38,Other Miscellaneous
2018/12/07,1,Forgery And Counterfeiting
2018/12/12,13,Drug Offense
2018/12/03,1,Embezzlement
2018/12/04,8,Traffic Violation Arrest
2018/12/19,1,Suicide
2018/12/21,1,Sex Offense
2018/12/02,23,Malicious Mischief
2018/12/01,1,Fire Report
2018/12/27,3,Weapons Carrying Etc
2018/12/27,7,Suspicious Occ
2018/12/22,4,Miscellaneous Investigation
2018/12/02,26,Assault
2018/12/01,17,Fraud
2019/01/01,1,Weapons Offense
2018/12/17,1,Civil Sidewalks
2018/12/29,19,Non-Criminal
2018/12/16,11,Warrant
2018/12/31,3,Weapons Offense
2018/12/26,146,Larceny Theft
2018/12/18,1,Weapons Carrying Etc
2018/12/18,6,Suspicious Occ
2018/12/03,16,Missing Person
2018/12/16,2,Case Closure
2018/12/30,1,Weapons Offense
2018/12/06,13,Drug Offense
2018/12/09,2,Vehicle Misplaced
2018/12/05,1,Sex Offense
2018/12/25,67,Larceny Theft
2018/12/14,4,Other Offenses
2018/12/20,13,Suspicious Occ
2018/12/24,159,Larceny Theft
2018/12/20,5,Weapons Carrying Etc
2018/12/04,12,Motor Vehicle Theft
2018/12/07,9,Offences Against The Family And Children
2018/12/14,3,Other
2018/12/15,132,Larceny Theft
2018/12/30,1,Traffic Collision
2018/12/03,26,Burglary
2018/12/10,10,Fraud
2018/12/21,1,Vehicle Impounded
2018/12/31,1,Traffic Collision
2018/12/27,16,Robbery
2018/12/08,7,Recovered Vehicle
2018/12/13,12,Recovered Vehicle
2018/12/09,1,Weapons Offense
2018/12/09,1,Suspicious
2018/12/07,1,Arson
2018/12/16,4,Disorderly Conduct
2018/12/19,18,Recovered Vehicle
2018/12/18,19,Robbery
2018/12/04,5,Disorderly Conduct
2018/12/13,4,Sex Offense
2018/12/25,1,Weapons Carrying Etc
2018/12/24,3,Suspicious Occ
2018/12/06,14,Fraud
2018/12/28,3,Weapons Offense
2018/12/25,3,Suspicious Occ
2018/12/20,129,Larceny Theft
2018/12/24,2,Weapons Carrying Etc
2018/12/22,8,Other
2018/12/09,1,Civil Sidewalks
2018/12/12,1,Family Offense
2018/12/07,18,Burglary
2018/12/22,4,Other Offenses
2018/12/19,2,Sex Offense
2018/12/21,1,Suicide
2018/12/03,6,Offences Against The Family And Children
2018/12/15,1,Weapons Carrying Etc
2018/12/10,19,Drug Offense
2018/12/11,4,Weapons Offense
2018/12/15,8,Suspicious Occ
2018/12/16,14,Motor Vehicle Theft
2018/12/05,12,Recovered Vehicle
2018/12/03,2,Arson
2018/12/02,1,Courtesy Report
2018/12/26,14,Robbery
2018/12/30,6,Recovered Vehicle
2018/12/18,3,Miscellaneous Investigation
2018/12/24,1,Other Offenses
2018/12/14,160,Larceny Theft
2018/12/15,2,Other
2018/12/23,13,Warrant
2018/12/25,4,Other Offenses
2018/12/27,2,Prostitution
2018/12/12,21,Warrant
2018/12/08,2,Traffic Collision
2018/12/31,11,Recovered Vehicle
2018/12/27,5,Lost Property
2018/12/10,15,Motor Vehicle Theft
2018/12/23,1,Case Closure
2018/12/02,10,Burglary
2018/12/22,6,Suspicious Occ
2018/12/06,4,Disorderly Conduct
2018/12/04,20,Fraud
2018/12/24,4,Other
2019/01/01,1,Recovered Vehicle
2018/12/25,4,Other
2018/12/15,3,Other Offenses
2018/12/17,5,Sex Offense
2018/12/23,3,Stolen Property
2018/12/18,16,Lost Property
2018/12/27,2,Miscellaneous Investigation
2018/12/16,3,Drug Offense
2018/12/07,4,Courtesy Report
2018/12/01,5,Traffic Violation Arrest
2018/12/12,3,Stolen Property
2018/12/18,1,Prostitution
2018/12/05,2,Liquor Laws
2018/12/29,5,Offences Against The Family And Children
2018/12/10,4,Disorderly Conduct
2018/12/01,1,Stolen Property
2018/12/12,11,Traffic Violation Arrest
2018/12/21,1,Weapons Offense
2018/12/06,11,Motor Vehicle Theft
2018/12/14,5,Suspicious Occ
2018/12/20,2,Other Offenses
2018/12/26,3,Miscellaneous Investigation
2018/12/23,3,Traffic Violation Arrest
2018/12/14,2,Weapons Carrying Etc
2018/12/02,6,Offences Against The Family And Children
2018/12/20,2,Other
2018/12/04,9,Drug Offense
2018/12/22,141,Larceny Theft
2018/12/01,12,Warrant
2018/12/26,1,Prostitution
2018/12/16,16,Fraud
2018/12/19,1,Liquor Laws
2018/12/31,3,Sex Offense
2018/12/26,11,Lost Property
2018/12/21,1,Vehicle Misplaced
2018/12/05,1,Traffic Collision
2018/12/17,19,Recovered Vehicle
2018/12/29,17,Burglary
2018/12/13,1,Liquor Laws
2018/12/31,1,Weapons Carrying Etc
2018/12/16,18,Non-Criminal
2018/12/18,3,Weapons Offense
2018/12/31,2,Suspicious Occ
2018/12/29,14,Warrant
2018/12/10,12,Missing Person
2018/12/30,4,Suspicious Occ
2018/12/30,3,Weapons Carrying Etc
2018/12/09,11,Robbery
2018/12/20,1,Traffic Collision
2018/12/07,1,Juvenile Offenses
2018/12/04,23,Assault
2018/12/01,11,Burglary
2018/12/22,7,Recovered Vehicle
2018/12/29,3,Stolen Property
2018/12/26,1,Civil Sidewalks
2018/12/06,3,Forgery And Counterfeiting
2018/12/02,9,Traffic Violation Arrest
2018/12/18,1,Vehicle Misplaced
2018/12/16,16,Other Miscellaneous
2018/12/27,1,Weapons Offense
2018/12/10,1,Drug Violation
2018/12/05,4,Other Offenses
2018/12/04,20,Malicious Mischief
