Incident ID,Incident Number,Incident Category
1,180966621,Offences Against The Family And Children
2,180926506,Missing Person
1,186297519,Larceny Theft
1,186293620,Larceny Theft
1,180922827,Other Miscellaneous
1,180934010,Larceny Theft
1,180984435,Other Offenses
2,186285865,Malicious Mischief
1,186277232,Larceny Theft
1,180925257,Disorderly Conduct
1,180938692,Other Miscellaneous
1,180928273,Offences Against The Family And Children
1,180964681,Lost Property
1,180915195,Assault
1,180952175,Burglary
1,186296947,Larceny Theft
1,180982166,Other Miscellaneous
1,180941708,Fraud
1,180936179,Other Offenses
1,180951713,Sex Offense
2,180975810,Burglary
1,180958474,Fire Report
1,186284005,Malicious Mischief
1,180948760,Recovered Vehicle
1,186298959,Larceny Theft
1,180936094,Assault
1,186284453,Malicious Mischief
1,186284102,Larceny Theft
1,186288455,Lost Property
1,180967293,Traffic Violation Arrest
1,180933915,Larceny Theft
1,180946924,Larceny Theft
1,180980392,Other Miscellaneous
1,186282827,Larceny Theft
1,180944423,Larceny Theft
1,180970945,Warrant
1,186293755,Larceny Theft
1,180951456,Non-Criminal
1,180957266,Robbery
1,180963495,Other Miscellaneous
1,180913315,Other
1,180934769,Other Miscellaneous
1,180978450,Traffic Violation Arrest
1,186286681,Lost Property
1,180950351,Recovered Vehicle
1,180971539,Larceny Theft
1,180920570,Drug Offense
2,180945211,Offences Against The Family And Children
1,180933937,Larceny Theft
1,180953979,Other Miscellaneous
3,180948099,Fraud
1,190043639,Forgery And Counterfeiting
1,180950191,Non-Criminal
1,180920934,Suspicious Occ
1,180950464,Warrant
1,180969697,Other Miscellaneous
1,180931840,Weapons Carrying Etc
1,190001289,Larceny Theft
1,186295820,Lost Property
1,180959911,Other Miscellaneous
1,186294690,Larceny Theft
1,180966342,Non-Criminal
1,186280382,Larceny Theft
1,180952727,Non-Criminal
1,186287601,Larceny Theft
2,180952658,Warrant
1,186300479,Larceny Theft
1,186297274,Larceny Theft
1,180922059,Malicious Mischief
1,180926556,Missing Person
1,180927297,Larceny Theft
1,186301938,Lost Property
1,180896222,Recovered Vehicle
1,180940653,Malicious Mischief
1,180960065,Other Miscellaneous
1,180961013,Warrant
1,180940716,Robbery
1,180975672,Suspicious Occ
1,180974185,Assault
1,180919551,Disorderly Conduct
1,180936492,Larceny Theft
1,160265540,Warrant
1,180940540,Fraud
1,186302180,Larceny Theft
1,186279272,Larceny Theft
2,180909712,Motor Vehicle Theft
1,180970008,Larceny Theft
1,180887817,Larceny Theft
1,180969227,Larceny Theft
1,180950624,Fraud
1,180928609,Robbery
1,186288217,Larceny Theft
1,180841302,Recovered Vehicle
1,186288057,Larceny Theft
1,180927805,Other Miscellaneous
1,186286766,Larceny Theft
1,186282974,Larceny Theft
2,180923449,Recovered Vehicle
1,180973256,Traffic Violation Arrest
1,180953189,Motor Vehicle Theft
1,180980762,Larceny Theft
1,186291470,Lost Property
1,180970882,Larceny Theft
1,180906780,Warrant
1,180945619,Assault
1,180984598,Non-Criminal
1,180915991,Other Miscellaneous
1,196019886,Larceny Theft
1,180921437,Assault
1,180944677,Other Miscellaneous
2,180947637,Weapons Carrying Etc
1,190014436,Malicious Mischief
1,180952573,Missing Person
1,180921841,Other Miscellaneous
1,196001861,Larceny Theft
1,186285360,Larceny Theft
1,180955533,Larceny Theft
1,180934082,Other
1,180984071,Other Miscellaneous
1,186280473,Larceny Theft
1,190000281,Larceny Theft
1,180926540,Malicious Mischief
1,180948340,Assault
1,180949592,Larceny Theft
1,180962566,Traffic Violation Arrest
1,180978488,Robbery
1,180956274,Larceny Theft
2,180921750,Assault
1,186285451,Malicious Mischief
1,186277577,Larceny Theft
1,180962312,Disorderly Conduct
1,180981613,Non-Criminal
1,186280235,Larceny Theft
1,180912113,Non-Criminal
1,180913218,Other Miscellaneous
1,190016307,Offences Against The Family And Children
1,180972634,Non-Criminal
1,180946689,Warrant
1,180924431,Non-Criminal
2,180957119,Motor Vehicle Theft
1,180917602,Other Miscellaneous
1,180907926,Other Miscellaneous
1,180907631,Recovered Vehicle
1,180914799,Motor Vehicle Theft
1,186277527,Lost Property
1,190001251,Larceny Theft
1,186287106,Larceny Theft
1,180932309,Traffic Violation Arrest
1,180936931,Non-Criminal
1,180980308,Larceny Theft
1,196018305,Larceny Theft
1,186296414,Larceny Theft
1,180978892,Non-Criminal
1,180916563,Other Miscellaneous
1,180935165,Assault
1,180936903,Weapons Offense
1,180983186,Larceny Theft
1,190005184,Larceny Theft
1,180953703,Larceny Theft
1,180937995,Burglary
1,180972662,Larceny Theft
1,180948196,Motor Vehicle Theft
1,180906291,Larceny Theft
1,180973795,Motor Vehicle Theft
1,186296210,Lost Property
1,180982837,Larceny Theft
1,186277668,Larceny Theft
1,180930795,Larceny Theft
1,180903548,Lost Property
1,186277389,Larceny Theft
1,180939189,Recovered Vehicle
1,186296339,Lost Property
1,196000255,Malicious Mischief
1,186302005,Larceny Theft
1,180942502,Robbery
1,180952294,Miscellaneous Investigation
1,180958361,Assault
1,180920821,Other Offenses
1,186285542,Larceny Theft
1,186293103,Larceny Theft
1,180926863,Lost Property
1,180913694,Motor Vehicle Theft
2,180924691,Drug Offense
1,180939418,Arson
1,186285332,Lost Property
2,186286863,Larceny Theft
1,186286697,Lost Property
1,196005738,Larceny Theft
1,180981685,Larceny Theft
1,180916115,Assault
1,180938749,Other Miscellaneous
1,180976915,Assault
1,180934333,Robbery
1,180972167,Malicious Mischief
1,190003144,Motor Vehicle Theft
2,180940750,Missing Person
1,180940089,Lost Property
1,186301198,Larceny Theft
1,190024366,Fraud
1,180980875,Motor Vehicle Theft
1,180959535,Larceny Theft
2,180927219,Assault
1,180916438,Malicious Mischief
1,186285241,Larceny Theft
1,180959375,Other Miscellaneous
1,180912210,Traffic Violation Arrest
2,180917931,Other Miscellaneous
1,180967798,Larceny Theft
1,180930535,Burglary
1,180918672,Weapons Carrying Etc
1,186292058,Larceny Theft
1,180966223,Lost Property
1,180924124,Lost Property
1,180975246,Non-Criminal
1,180918791,Larceny Theft
1,180937490,Larceny Theft
1,186302685,Larceny Theft
2,180942847,Assault
1,186291812,Larceny Theft
1,180974630,Assault
1,180941184,Other Miscellaneous
1,186295541,Larceny Theft
1,180793060,Recovered Vehicle
1,180955191,Stolen Property
1,186301950,Larceny Theft
1,190044273,Fraud
1,180940932,Recovered Vehicle
1,180951531,Malicious Mischief
1,180965178,Recovered Vehicle
1,186295416,Larceny Theft
1,180971147,Lost Property
1,180946269,Non-Criminal
2,180960407,Larceny Theft
1,180952727,Other Miscellaneous
1,180964788,Other Miscellaneous
1,186295808,Larceny Theft
1,180961477,Other Miscellaneous
1,180908883,Other Miscellaneous
1,180943027,Motor Vehicle Theft
1,180985596,Traffic Collision
1,186283245,Larceny Theft
1,180915496,Warrant
1,186280906,Larceny Theft
1,180967196,Other Miscellaneous
1,180942734,Other Miscellaneous
1,186300106,Larceny Theft
1,180964669,Lost Property
1,180969885,Recovered Vehicle
1,186279664,Malicious Mischief
1,190026174,Lost Property
1,180980950,Missing Person
1,180908673,Miscellaneous Investigation
1,180926528,Stolen Property
1,180964738,Larceny Theft
1,180975525,Non-Criminal
1,180978563,Offences Against The Family And Children
1,180979953,Larceny Theft
1,180920382,Offences Against The Family And Children
1,180926540,Assault
1,180948340,Malicious Mischief
1,180938250,Motor Vehicle Theft
1,186285075,Larceny Theft
1,180933222,Lost Property
1,180940277,Larceny Theft
1,186294963,Malicious Mischief
1,180953446,Larceny Theft
2,180927407,Warrant
1,186291191,Larceny Theft
1,190035959,Burglary
1,180940863,Malicious Mischief
1,186280815,Larceny Theft
1,186285934,Malicious Mischief
1,180906558,Warrant
1,180926584,Larceny Theft
1,180984134,Other Miscellaneous
1,180960247,Other
1,180949520,Robbery
1,180908457,Larceny Theft
1,180946247,Other Miscellaneous
1,180944978,Warrant
1,180916369,Warrant
1,180912527,Recovered Vehicle
1,186293545,Larceny Theft
1,180933498,Other Miscellaneous
1,180943334,Assault
1,180915612,Suspicious Occ
1,180899135,Suspicious Occ
1,180979884,Robbery
1,180930187,Non-Criminal
1,180974470,Burglary
1,196001764,Larceny Theft
1,180980671,Warrant
1,180955204,Assault
1,180977775,Larceny Theft
2,180969409,Missing Person
1,186298664,Larceny Theft
2,180983631,Missing Person
1,180951638,Burglary
1,180914238,Assault
1,180941576,Malicious Mischief
1,196008544,Lost Property
1,180946297,Larceny Theft
1,180910383,Malicious Mischief
1,180970252,Burglary
1,186294634,Larceny Theft
2,190004409,Larceny Theft
1,186281330,Larceny Theft
1,180980596,Larceny Theft
1,180956854,Assault
1,180924635,Larceny Theft
1,186296771,Larceny Theft
1,190010434,Other Offenses
1,190015371,Larceny Theft
1,180954488,Assault
1,180941758,Larceny Theft
